Internal ID,Load Record,Item Number,Barcode,Price
532674,9242248,16747,19889561,29962.99
299424,9252201,77402,21470642,26250.99
606427,9272960,1,9272960-1^^^^^^^^^^^^^^9272960-1^^^^^^^^^^^1^^,22230.99
480976,921105,10878,17678402,22230.99
481675,9232356,3809,9232356-3809^^^^^^^^^^^9232356-3809^^^^^^^^1^^,21153.99
295617,9254416,5,21171222,18380.99
299423,9242475,4017,19063117,18149.99
595671,9252202,137531,9252202-137531^^^^^^^^^9252202-137531^^^^^^1^^,17620.99
295974,9242418,641,19774415,17350.99
294679,9252041,2542,21829911,16000.99
508317,9224401,142,16641875,15972.99
294551,9232248,5206,17372204,14758.99
598403,9252202,137653,9252202-137653^^^^^^^^^9252202-137653^^^^^^1^^,14750.99
786980,9252543,208362,9252543-208362^^^^^^^^^9252543-208362^^^^^^1^^,14295.99
560903,9252043,52684,9252043-52684^^^^^^^^^^9252043-52684^^^^^^^1^^,14246.99
294685,9242441,633,19579450,14080.99
299267,9252543,138480,21804358,13827.99
700273,9262475,52282,9262475-52282^^^^^^^^^^9262475-52282^^^^^^^1^^,13490
606547,9272960,2,9272960-2^^^^^^^^^^^^^^9272960-2^^^^^^^^^^^1^^,13259.99
298784,9252302,543,21070415,12999.99
598003,9252041,52738,9252041-52738^^^^^^^^^^9252041-52738^^^^^^^1^^,12325.99
299482,9232363,3645,17846258,12168.99
295672,9232379,7880,18420363,11836.99
596149,9252202,137512,9252202-137512^^^^^^^^^9252202-137512^^^^^^1^^,11624.99
295914,9232418,1293,18612736,11313.99
302270,9232389,5774,19371062,11099.99
596447,9252202,137537,9252202-137537^^^^^^^^^9252202-137537^^^^^^1^^,10799.99
699969,9252543,206932,9252543-206932^^^^^^^^^9252543-206932^^^^^^1^^,10276.99
297886,9232391,7162,18150679,10270.99
298785,9252543,66810,21075232,10186
294547,9232363,3640,17755704,9435.99
699972,9262475,52277,9262475-52277^^^^^^^^^^9262475-52277^^^^^^^1^^,9385
560939,9252374,50227,9252374-50227^^^^^^^^^^9252374-50227^^^^^^^1^^,9375.99
296383,9232252,924,17678786,9099.99
295616,9252201,80021,21500455,9015.99
298794,9232392,2185,18406601,8844.99
296172,9232041,1322,17855180,8843.99
766706,9252202,143424,9252202-143424^^^^^^^^^9252202-143424^^^^^^1^^,8754.99
296017,9252201,97492,21697255,8695.99
794173,9252423,62151,9252423-62151^^^^^^^^^^9252423-62151^^^^^^^1^^,8400.99
597565,9252201,175183,9252201-175183^^^^^^^^^9252201-175183^^^^^^1^^,8333.99
297245,9232513,3054,18612775,8118.99
296595,9252536,1477,21896931,7999.99
298786,9242435,7971,21069340,7884.99
700173,9262475,52280,9262475-52280^^^^^^^^^^9262475-52280^^^^^^^1^^,7880
299421,9252543,75837,21137983,7875.99
295615,9242543,170104,20515827,7832.99
490523,9252432,355,21141230,7800.99
298173,9244429,3,20124100,7749.99
295999,9252201,36349,20958043,7583.99
511416,9252435,11228,IEySYCiiTDCZw0Ux4usg-A^9252435-11228^^^^^^^1^^,7515.99
294561,9242248,12503,19579929,7310.99
299017,920602,4320,14942017,7260.99
480948,921264,4081,16253373,7252.99
294347,9242512,2899,20043010,7000.99
794073,9242602,1623,9242602-1623^^^^^^^^^^^9242602-1623^^^^^^^^1^^,6995.99
299016,9252064,2314,21655039,6808.99
299202,9252475,36803,21614802,6689.99
297281,9254416,3,21041025,6684.99
299014,9252211,74068,21805441,6499.99
296113,9232504,7467,18587095,6447.99
298769,9252397,635,21001585,6356.99
543569,9252202,134767,9252202-134767^^^^^^^^^9252202-134767^^^^^^1^^,6305.99
699203,9262475,52276,9262475-52276^^^^^^^^^^9262475-52276^^^^^^^1^^,6266
298791,9252205,25603,20958474,6185.99
299419,9252435,13697,21673924,6175
561407,9252202,135576,9252202-135576^^^^^^^^^9252202-135576^^^^^^1^^,6000.99
295673,9242543,35405,19107426,6000.99
521068,9244408,61,19367752,6000.99
297250,9252475,35980,21582351,5999.99
542177,9251293,9,21554609,5999.99
296281,9242078,6445,19964512,5999.99
299204,9242534,1489,20852770,5999.99
295674,9244408,55,18612820,5968.99
296004,9252403,3291,21250594,5964.99
597676,9252201,175184,9252201-175184^^^^^^^^^9252201-175184^^^^^^1^^,5944.99
298568,9254416,2,21040777,5924.99
297894,9232303,969,17678819,5856.99
301483,9242278,753,19142564,5778.99
297191,9244429,2,20123979,5535.99
297282,9244408,66,19783258,5350.99
298565,9244429,4,20124258,5350.99
295676,9232266,11135,18320306,5226.99
298506,9232048,4181,18433661,5222.99
295948,9252202,14852,20767441,5168.99
299422,9252282,203,21447349,5135.99
562567,9252435,67446,9252435-67446^^^^^^^^^^9252435-67446^^^^^^^1^^,5131.99
295671,9242517,4503,21130829,5060.99
300705,921978,468,15221323,5040.99
295908,9232283,955,17561732,5040.99
773411,9252580,50586,9252580-50586^^^^^^^^^^9252580-50586^^^^^^^1^^,4999.99
544796,9252543,203633,9252543-203633^^^^^^^^^9252543-203633^^^^^^1^^,4999.99
248997,9252248,6470,20882302,4999.99
296247,9252204,749,20315736,4999.99
506388,9261128,76,9261128-76^^^^^^^^^^^^^9261128-76^^^^^^^^^^1^^,4999.99
295962,9252201,63844,21276421,4925.99
415282,9251280,144,21951072,4896.99
294550,9242532,11951,21247236,4879.99
289955,9252205,67810,21924537,4874.99
294680,9252205,22408,20896406,4850.99
298959,921201,3402,15820489,4850.99
296099,9252423,5899,21540336,4779.99
299420,9252201,53125,21145937,4765.99
299203,9242505,8955,20896950,4725.99
296266,9252201,36393,20959525,4724.99
652971,9252202,140021,9252202-140021^^^^^^^^^9252202-140021^^^^^^1^^,4700.99
295961,9252545,7536,21354713,4641.99
299200,9252202,29847,21146695,4633.99
298241,9252201,121599,21948486,4626.99
415289,9252201,119955,21929167,4599.99
296006,9242208,441,18663404,4560.99
295618,9252435,7717,21035546,4550.99
294681,9242543,35799,19110780,4509.99
295348,9232356,3805,18036477,4392.99
701032,9252201,176562,9252201-176562^^^^^^^^^9252201-176562^^^^^^1^^,4359.99
550856,9252202,135007,9252202-135007^^^^^^^^^9252202-135007^^^^^^1^^,4355.99
295354,9252248,7674,20904742,4294.99
296142,9242435,2446,19749723,4291.99
297235,9232460,7803,18612462,4255.99
556773,9252202,135491,9252202-135491^^^^^^^^^9252202-135491^^^^^^1^^,4214.99
613405,9252202,138220,9252202-138220^^^^^^^^^9252202-138220^^^^^^1^^,4200.99
596168,9252202,137519,9252202-137519^^^^^^^^^9252202-137519^^^^^^1^^,4160.99
298166,9232363,3665,19368076,4125.99
298496,9232362,6956,18099804,4117.99
295954,9242227,1168,18792070,4068.99
297667,9244408,64,19782761,4059.99
294504,9232211,14333,17762515,4035.99
294682,9232048,3328,18037302,4023.99
248252,9252543,117063,21570097,3999.99
299090,9242033,3944,20349238,3999.99
250919,9242529,4284,20154211,3999.99
299093,9252376,3172,21173003,3982.99
561555,9252060,52707,9252060-52707^^^^^^^^^^9252060-52707^^^^^^^1^^,3965.99
701515,9252201,176572,9252201-176572^^^^^^^^^9252201-176572^^^^^^1^^,3955.99
298490,9242045,2369,19821384,3823.99
297315,9252078,7795,21896805,3820.99
295984,9252533,945,20890025,3739.99
299015,9252052,1140,21075472,3716.99
298497,9232470,5594,18406330,3694.99
295619,9232261,3900,17762516,3662.99
299201,9252543,75826,21137868,3650.99
551890,9252202,135130,9252202-135130^^^^^^^^^9252202-135130^^^^^^1^^,3599.99
229231,9232392,85,17969423,3596.99
297305,9242244,334,18946264,3550.99
299001,9242435,7381,20287380,3540.99
295670,9252266,149,21860116,3512.99
597689,9252201,175185,9252201-175185^^^^^^^^^9252201-175185^^^^^^1^^,3499.99
552233,9272914,6,9272914-6^^^^^^^^^^^^^^9272914-6^^^^^^^^^^^1^^,3499.99
297284,9241190,180,19118276,3499.99
264245,9252205,50584,21479475,3459.99
266685,9252475,37927,21692423,3449.99
295848,9252543,116856,21565326,3443.99
797126,9252380,50571,9252380-50571^^^^^^^^^^9252380-50571^^^^^^^1^^,3406.99
297313,9252205,34916,21208530,3379.99
295675,9242517,4454,21125046,3375.99
294673,9252297,3393,21620809,3365.99
294543,9252435,13475,21598241,3357.99
653443,9272964,1,9272964-1^^^^^^^^^^^^^^9272964-1^^^^^^^^^^^1^^,3351
295912,9252205,4702,20478408,3349.99
294548,9232389,3927,18009478,3343.99
297882,9242475,20527,19811767,3312.99
298485,9252423,5337,21529718,3312.99
251422,9242370,8921,19361960,3300.99
295905,9232448,1614,18368055,3293.99
297583,9232441,5610,18155285,3280.99
804846,9252297,54219,9252297-54219^^^^^^^^^^9252297-54219^^^^^^^1^^,3277.99
520973,9252543,61325,20992201,3273.99
294697,9242041,2237,19905433,3250.99
297892,9232363,3641,17755719,3245.99
302271,9232215,2203,17619381,3221.99
294684,9241319,5,20012706,3220.99
295907,9242418,309,19566158,3205.99
299268,9242376,1070,19430173,3200.99
296169,9232362,7456,18265040,3200.99
544836,9261109,11,9261109-11^^^^^^^^^^^^^9261109-11^^^^^^^^^^1^^,3199.99
234534,9254409,5,20409020,3199.99
228257,9254409,16,20413054,3199.99
602249,9252202,137982,9252202-137982^^^^^^^^^9252202-137982^^^^^^1^^,3182.99
702174,9252201,176568,9252201-176568^^^^^^^^^9252201-176568^^^^^^1^^,3172.99
296109,9232323,942,17754261,3168.99
294666,9242026,3291,18792823,3163.99
298799,9252475,4292,20531979,3156.99
295906,9252248,7667,20904010,3151.99
295429,9222026,21151,16940568,3147.99
296001,9232326,4097,18589254,3122.99
296112,9252201,77640,21474570,3119.99
298690,9252435,12843,21525937,3106.99
296000,9252201,119918,21928283,3077.99
775058,9252248,72995,9252248-72995^^^^^^^^^^9252248-72995^^^^^^^1^^,3064.99
296167,9232513,228,18490476,3064.99
294546,9252066,609,21803541,3007.99
296155,9242205,2135,18644253,3000.99
234531,9254409,4,20408643,2999.99
544381,9261109,10,9261109-10^^^^^^^^^^^^^9261109-10^^^^^^^^^^1^^,2999.99
361561,9252536,1846,21948860,2999.99
298805,9252205,15679,20721900,2999.99
219800,9252543,112709,21504022,2999.99
298537,9261128,1,9261128-1^^^^^^^^^^^^^^9261128-1^^^^^^^^^^^1^^,2997.99
766381,9252202,143428,9252202-143428^^^^^^^^^9252202-143428^^^^^^1^^,2994.99
298787,9242230,5394,18790687,2981.99
295903,9252201,23926,20775732,2980.99
300554,9244408,65,19783104,2952.99
294223,9242026,3424,18806563,2945
294232,9242512,2905,20043125,2900.99
234630,9254409,29,20417453,2899.99
553264,9252202,135271,9252202-135271^^^^^^^^^9252202-135271^^^^^^1^^,2887.99
298919,9252078,7786,21893223,2885.99
296384,9252503,755,21864801,2877.99
295988,9222046,3182,17840621,2873.99
296003,9252580,429,21850527,2846.99
296140,9252201,16135,20684188,2803.99
294463,9252201,60200,21228471,2799.99
298725,9252202,29153,21109888,2795.99
532880,9251977,356,21030541,2760.99
543880,9252202,134757,9252202-134757^^^^^^^^^9252202-134757^^^^^^1^^,2756.99
295289,9252205,52256,21532138,2752.99
699834,9252543,206937,9252543-206937^^^^^^^^^9252543-206937^^^^^^1^^,2708.99
509466,9261128,107,9261128-107^^^^^^^^^^^^9261128-107^^^^^^^^^1^^,2698.99
297316,9251327,213,21775091,2697.99
301339,9261128,3,9261128-3^^^^^^^^^^^^^^9261128-3^^^^^^^^^^^1^^,2670.99
304566,9261128,8,9261128-8^^^^^^^^^^^^^^9261128-8^^^^^^^^^^^1^^,2670.99
298935,9252201,113947,21887655,2632.99
297303,9241190,270,19701307,2625.99
668005,9252275,50340,9252275-50340^^^^^^^^^^9252275-50340^^^^^^^1^^,2599.99
556783,9272944,2,9272944-2^^^^^^^^^^^^^^9272944-2^^^^^^^^^^^1^^,2599.99
234536,9254409,6,20409219,2599.99
699276,9252543,206933,9252543-206933^^^^^^^^^9252543-206933^^^^^^1^^,2570.99
298693,9252211,75821,21841736,2554.99
296258,9252423,10360,21882586,2533.99
549144,9272914,1,9272914-1^^^^^^^^^^^^^^9272914-1^^^^^^^^^^^1^^,2524.99
295853,9252062,4126,21734095,2524.99
789383,9252543,208385,9252543-208385^^^^^^^^^9252543-208385^^^^^^1^^,2500.99
250615,9242045,667,18920733,2500.99
741992,9252202,143111,9252202-143111^^^^^^^^^9252202-143111^^^^^^1^^,2500.99
473714,9232328,6352,18927781,2500.99
361557,9251293,39,21918737,2499.99
296255,9241329,1,20012504,2499.99
234636,9254409,33,20419102,2499.99
295839,9251977,364,21031105,2499.99
398144,9252423,3965,21133246,2499.99
805156,9252543,208476,9252543-208476^^^^^^^^^9252543-208476^^^^^^1^^,2482.99
258641,9252475,44177,21892456,2463.99
295911,9252201,97499,21697262,2462.99
382742,9251287,9446,21910485,2452.99
297560,9252200,2779,20829743,2448.99
298800,9252580,430,21850873,2444.99
699973,9252543,206934,9252543-206934^^^^^^^^^9252543-206934^^^^^^1^^,2433.99
299032,9232407,2650,18364524,2420.99
294563,9241167,361,20051954,2400.99
299027,9252201,114186,21889287,2392.99
301484,9232463,427,18353550,2382.99
604573,9252201,175285,9252201-175285^^^^^^^^^9252201-175285^^^^^^1^^,2350.99
295915,9242320,3286,20016025,2343.99
810405,9242602,1804,9242602-1804^^^^^^^^^^^9242602-1804^^^^^^^^1^^,2335.99
298495,9242026,20688,20532078,2332.99
298243,9242026,8892,19381251,2328.99
296107,9252201,101625,21736010,2321.99
297246,9252044,260,20682621,2320.99
296105,9252201,90794,21635745,2318.99
298494,9242359,930,19019637,2315.99
297242,9242379,1042,19300582,2300.99
747844,9252202,143252,9252202-143252^^^^^^^^^9252202-143252^^^^^^1^^,2299.99
726858,9272972,37,9272972-37^^^^^^^^^^^^^9272972-37^^^^^^^^^^1^^,2299.99
299024,9252273,1342,21858224,2287.99
688766,9272960,5,9272960-5^^^^^^^^^^^^^^9272960-5^^^^^^^^^^^1^^,2287.99
562196,9252060,52709,9252060-52709^^^^^^^^^^9252060-52709^^^^^^^1^^,2275.99
296030,9232415,3399,18150577,2271.99
299215,9242435,7716,20510127,2264.99
296002,9242205,26885,19147535,2264.99
296055,9252543,141762,21873994,2250.99
522407,9261128,112,9261128-112^^^^^^^^^^^^9261128-112^^^^^^^^^1^^,2249.99
298668,9241190,315,19724712,2249.99
296499,9252201,115560,21898456,2249.99
530998,9261128,158,9261128-158^^^^^^^^^^^^9261128-158^^^^^^^^^1^^,2247.99
530903,9261128,157,9261128-157^^^^^^^^^^^^9261128-157^^^^^^^^^1^^,2247.99
548003,9252202,134922,9252202-134922^^^^^^^^^9252202-134922^^^^^^1^^,2239.99
300555,9232248,21604,18481829,2228.99
295861,9242543,36151,19113781,2223.99
835555,9252403,55846,9252403-55846^^^^^^^^^^9252403-55846^^^^^^^1^^,2218.99
297889,9242453,9413,20417247,2211.99
699831,9262475,52283,9262475-52283^^^^^^^^^^9262475-52283^^^^^^^1^^,2200
298820,9251322,119,21739822,2199.99
250612,9252211,56190,21156586,2199.99
296382,9251322,3,21701221,2199.99
247419,9254409,30,20417840,2199.99
298525,9251322,120,21739835,2199.99
421035,9252543,95944,21324265,2199.99
298276,9261128,2,9261128-2^^^^^^^^^^^^^^9261128-2^^^^^^^^^^^1^^,2197.99
508335,9254430,1,21157533,2167.99
508336,9251977,24,20300821,2164.99
254403,9232543,15551,18797416,2160.99
297308,9222385,3171,16957884,2156.99
589715,9242822,242,9242822-242^^^^^^^^^^^^9242822-242^^^^^^^^^1^^,2155.99
298488,9252208,3732,21000929,2147.99
295973,9251322,41,21734090,2136.99
808275,9242602,1794,9242602-1794^^^^^^^^^^^9242602-1794^^^^^^^^1^^,2134.99
294596,9242353,1976,19296550,2130.99
295819,9251977,347,20994616,2100.99
299146,9252201,37200,20982230,2098.99
766680,9242569,112,9242569-112^^^^^^^^^^^^9242569-112^^^^^^^^^1^^,2096.99
295902,9252205,34894,21208420,2089.99
787727,9252543,208376,9252543-208376^^^^^^^^^9252543-208376^^^^^^1^^,2073.99
298665,9252543,33561,20752805,2071.99
